id,job,title,doi,rung,ok,note,url
W4412735299,J5_CHAIN_REST,The Debt Paradox: How Student Loans Simultaneously Enhance Earnings an,10.4236/jss.2025.137036,none,False,empty_or_tiny:403,
W3195580295,J6_UNCERTAIN,From Housing Assistance to Student Debt: the Effects of Government Aid,,none,False,no_candidate_url,
W4414248228,J1_DIRECT_ARM,Delayed Dreams: How Student Loan Debt Shapes Family Formation and Home,10.11648/j.ijecs.20251005.12,cached,True,already on disk,
W4285198771,J1_DIRECT_ARM,"Experimental Evidence on Consumption, Saving, and Family Formation Res",10.2139/ssrn.4139814,none,False,route_blocked:403,
W2182092126,J6_UNCERTAIN,Homeownership Among Millennials: The Deferred American Dream?,10.1111/fcsr.12136,none,False,no_candidate_url,
W2899368935,J1_DIRECT_ARM,Debt burden after college: the effect of student loan debt on graduate,10.1080/09645292.2018.1541167,none,False,no_candidate_url,
W2784047829,J1_DIRECT_ARM,Racial and Ethnic Variation in the Relationship Between Student Loan D,10.1007/s13524-017-0643-6,none,False,route_blocked:403,
W2167673007,J3_IDENTIFIED_CHAIN,Does the Student-Loan Burden Weigh into the Decision to Start a Family,,none,False,no_candidate_url,
W4250007706,J3_IDENTIFIED_CHAIN,A Day Late and a Dollar Short: Liquidity and Household Formation among,10.17016/feds.2018.025,cached,True,already on disk,
W2187914023,J3_IDENTIFIED_CHAIN,In Debt and Alone? Examining the Causal Link between Student Loans and,,none,False,no_candidate_url,
W2551058855,J6_UNCERTAIN,Student Loan Debt Implications for Hispanic Students Who Have Graduate,,none,False,no_candidate_url,
W2293717509,J3_IDENTIFIED_CHAIN,Student Debt and the Life Cycle,,none,False,no_candidate_url,
W2124268757,J5_CHAIN_REST,Do student loans delay marriage? Debt repayment and family formation i,10.4054/demres.2014.30.69,cached,True,already on disk,
W4391576507,J1_DIRECT_ARM,Student loan debt and family formation of youth in Japan,10.1080/03075079.2024.2307972,none,False,no_candidate_url,
W131050296,J6_UNCERTAIN,"Parental Resources, Educational Progression, and Family Formation",10.13016/m2bc8k,cached,True,already on disk,
