doi,openalex,year,venue,title,screen_cell,ra_verdict,ra_reason,gated_by,gated_date
10.1080/02673037.2021.1893279,W3136414866,2021,Housing Studies,"Housing and fertility: a macro-level, multi-country investigation, 1993-2017",PRIMARY_COST_RENT_IDENTIFIED,DEMOTE_TENURE,"renters are one subgroup; macro tenure composition, not a rent treatment",Shravan/Claude,2026-07-31
10.31235/osf.io/89gcu,W4254487345,2019,,The influence of housing on family size in South Korea: Unstable housing and parity specific risk,PRIMARY_COST_RENT_IDENTIFIED,DEMOTE_TENURE,"rent appears as a tenure category, not a price",Shravan/Claude,2026-07-31
10.1215/00703370-9420322,W3133039346,2021,Demography,The Changing Association Between Homeownership and the Transition to Parenthood,PRIMARY_WEALTH_OWNER,DEMOTE_TENURE,"treatment is ownership status, not price or wealth",Shravan/Claude,2026-07-31
10.1080/02673037.2022.2108382,W4294869853,2022,Housing Studies,Homeownership and fertility intentions among migrant population in urban China,PRIMARY_WEALTH_OWNER,DEMOTE_TENURE,ownership status as treatment,Shravan/Claude,2026-07-31
10.3390/su13031534,W3126286627,2021,Sustainability,"Factors Influencing Fertility Intentions of Newlyweds in South Korea: Focus on Demographics, Socioeconomics, Housing Situation, Residential Satisfaction, and Housing Expectation",PRIMARY_COST_RENT_IDENTIFIED,DEMOTE_TENURE,rental household as a sample category,Shravan/Claude,2026-07-31
10.1016/j.cities.2023.104643,W4387993123,2023,Cities,"Perceptions of housing stability and fertility intentions among public housing renters in Guangzhou, China",PRIMARY_COST_RENT_IDENTIFIED,DEMOTE_TENURE,public-housing renters are the sample frame; treatment is perceived stability,Shravan/Claude,2026-07-31
10.1007/s12546-023-09308-9,W4378192062,2023,Journal of Population Research,Homeownership pathways and fertility in urban China,PRIMARY_WEALTH_OWNER,DEMOTE_TENURE,tenure pathway as treatment,Shravan/Claude,2026-07-31
10.1016/j.alcr.2023.100577,W4386826586,2023,Advances in Life Course Research,"The trifecta of adulthood: Housing, partnering and childbearing trajectories",PRIMARY_COST_RENT_IDENTIFIED,DEMOTE_TENURE,rental home as a life-course state,Shravan/Claude,2026-07-31
10.21203/rs.3.rs-8107843/v1,W4417115105,2025,Research Square,"The interconnection of homeownership, marriage and childbearing in the life courses of young male and female adults, by country of origin and generation in Sweden",PRIMARY_WEALTH_OWNER,DEMOTE_TENURE,"joint life-course states, no price variation",Shravan/Claude,2026-07-31
10.1007/978-3-032-30881-8_60,W7169191591,2026,,Homeownership and Transition to Parenthood in Italy,PRIMARY_WEALTH_OWNER,DEMOTE_TENURE,ownership status as treatment,Shravan/Claude,2026-07-31
10.7454/jessd.v6i1.1145,W4385496510,2023,Journal of Environmental Science and Sustainable Development,LIVING ARRANGEMENT AND HOMEOWNERSHIP IMPACTS ON FERTILITY INTENTION TO ACHIEVE THE SUSTAINABLE DEVELOPMENT GOALS,PRIMARY_WEALTH_OWNER,DEMOTE_TENURE,ownership status plus living arrangement; also A.23 adjacent,Shravan/Claude,2026-07-31
10.1080/17516234.2026.2704701,W7169552806,2026,Journal of Asian Public Policy,Fertility intention and household consumption patterns among public rental housing residents: evidence from Seoul,PRIMARY_COST_RENT_IDENTIFIED,DEMOTE_TENURE,rental setting is context; treatment is consumption pattern,Shravan/Claude,2026-07-31
10.1002/psp.70131,W4415509319,2025,Population Space and Place,Housing Expenditure and Births in Italy,PRIMARY_COST_RENT_IDENTIFIED,KEEP_PRIMARY_COST_RENTER,"expenditure treatment bundling rent+mortgage; a cost measure, not rent-identified",Shravan/Claude,2026-07-31
10.1016/j.regsciurbeco.2008.08.002,W3023836900,2008,Regional Science and Urban Economics,"Do higher rents discourage fertility? Evidence from U.S. cities, 1940–2000",PRIMARY_COST_RENT_IDENTIFIED,KEEP_PRIMARY_COST_RENT_IDENTIFIED,"rent level is the treatment; US cities 1940-2000; no wealth offset, no tenure split needed",Shravan/Claude,2026-07-31
10.1080/00779954.2016.1199591,W2470035674,2016,New Zealand Economic Papers,The effect of the price or rental cost of housing on family size: a theoretical analysis with reference to New Zealand,PRIMARY_COST_RENT_IDENTIFIED,KEEP_PRIMARY_COST_RENT_IDENTIFIED,"rental cost as treatment, explicit income vs substitution decomposition",Shravan/Claude,2026-07-31
10.1016/j.jpolmod.2019.05.008,W2949452997,2019,Journal of Policy Modeling,The long-term consequences of youth housing for childbearing and higher education,PRIMARY_COST_RENT_IDENTIFIED,KEEP_PRIMARY_COST_RENT_IDENTIFIED,allocation of a rental apartment is the treatment; policy variation,Shravan/Claude,2026-07-31
10.17208/jkpa.2022.10.57.5.136,W4308203433,2022,국토계획,The Effect of Public Rental Housing on Birth Interval of Newlyweds and Policy Implications,PRIMARY_COST_RENT_IDENTIFIED,KEEP_PRIMARY_COST_RENT_IDENTIFIED,policy-assigned rental housing; plausibly exogenous rent,Shravan/Claude,2026-07-31
10.2139/ssrn.6274479,W7134116679,2026,SSRN Electronic Journal,"Working from Home, Land Rents, and Fertility",PRIMARY_COST_RENT_IDENTIFIED,KEEP_PRIMARY_COST_RENT_IDENTIFIED,land rents as treatment,Shravan/Claude,2026-07-31
10.1080/02673037.2018.1458288,W2800948146,2018,Housing Studies,Housing context and childbearing in Sweden: a cohort study,PRIMARY_COST_RENT_IDENTIFIED,KEEP_PRIMARY_SPACE_QUANTITY,rental apartment is a housing TYPE here; belongs in the space/type cell,Shravan/Claude,2026-07-31
10.1016/j.jhe.2021.101787,W3175165566,2021,Journal of Housing Economics,"Housing wealth, fertility intentions and fertility",PRIMARY_WEALTH_OWNER,KEEP_PRIMARY_WEALTH_OWNER,housing wealth as treatment; HILDA,Shravan/Claude,2026-07-31
10.1007/s00148-021-00879-6,W3217487213,2021,Journal of Population Economics,Housing wealth and fertility: evidence from China,PRIMARY_WEALTH_OWNER,KEEP_PRIMARY_WEALTH_OWNER,housing wealth as treatment,Shravan/Claude,2026-07-31
10.1016/j.jhealeco.2024.102915,W4400391089,2024,Journal of Health Economics,"Housing wealth, fertility and children's health in China: A regression discontinuity design",PRIMARY_WEALTH_OWNER,KEEP_PRIMARY_WEALTH_OWNER,RD design; among the stronger identifications in the pool,Shravan/Claude,2026-07-31
10.1177/01600176211066472,W4206976708,2022,International Regional Science Review,Impacts of Housing Booms on Fertility in China: A Perspective From Homeownership,PRIMARY_WEALTH_OWNER,KEEP_PRIMARY_WEALTH_OWNER,explicitly separates wealth effect from cost effect by tenure,Shravan/Claude,2026-07-31
,W2227602512,2015,Economics bulletin,The Effects of Housing Wealth on Fertility Decisions: Evidence from Japan,PRIMARY_WEALTH_OWNER,KEEP_PRIMARY_WEALTH_OWNER,housing bust; change in home value as treatment; Japan,Shravan/Claude,2026-07-31
10.1007/s11150-016-9355-8,W1693336056,2017,Review of Economics of the Household,The asymmetric housing wealth effect on childbirth,PRIMARY_WEALTH_OWNER,KEEP_PRIMARY_WEALTH_OWNER,directly on the tenure asymmetry the pooling rule is built around; priority read,Shravan/Claude,2026-07-31
,W2616510210,2017,RePEc: Research Papers in Economics,Housing Wealth and Fertility: Australian Evidence,PRIMARY_WEALTH_OWNER,KEEP_PRIMARY_WEALTH_OWNER,geographic variation in house price changes,Shravan/Claude,2026-07-31
,W3140682174,2021,Econstor (Econstor),"No Flat, No Child in Singapore: Cointegration Analysis of Housing, Income, and Fertility",PRIMARY_WEALTH_OWNER,KEEP_PRIMARY_WEALTH_OWNER,"macro cointegration via housing wealth formation; weak identification, keep flagged",Shravan/Claude,2026-07-31
10.53383/100334,W4280562027,2022,International Real Estate Review,"Housing Wealth, Fertility, and Child Quality",PRIMARY_WEALTH_OWNER,KEEP_PRIMARY_WEALTH_OWNER,housing wealth to fertility and child investment; QQ margin,Shravan/Claude,2026-07-31
10.19172/kreaa.30.3.3,W4402894640,2024,부동산학연구,The Effect of Housing Wealth on Fertility among Home-Owning Households,PRIMARY_WEALTH_OWNER,KEEP_PRIMARY_WEALTH_OWNER,"Korean panel, home-owning households; Korean-language",Shravan/Claude,2026-07-31
10.2139/ssrn.4476426,W4380303650,2023,SSRN Electronic Journal,"Two-Child Policy, Housing Wealth Stratification and Multi-Child Birth Rate",PRIMARY_WEALTH_OWNER,KEEP_PRIMARY_WEALTH_OWNER,housing wealth stratification as treatment,Shravan/Claude,2026-07-31
10.1080/14036096.2020.1846610,W3108309680,2020,Housing Theory and Society,The Death and Life of Private Landlordism: How Financialized Homeownership Gave Birth to the Buy-To-Let Market,PRIMARY_WEALTH_OWNER,OUT_NO_FERT_OUTCOME,housing tenure structure; no fertility outcome,Shravan/Claude,2026-07-31
10.1080/02673037.2018.1509949,W2888636906,2018,Housing Studies,"Family formation, parental background and young adults’ first entry into homeownership in Britain and Germany",PRIMARY_WEALTH_OWNER,OUT_NO_FERT_OUTCOME,"outcome is entry into homeownership, not fertility",Shravan/Claude,2026-07-31
10.1080/08111140802301773,W2166438357,2008,Urban Policy and Research,"Baby-boomers, Baby-busters and the Lost Generation: Generational Fractures in Japan's Homeowner Society",PRIMARY_WEALTH_OWNER,OUT_NO_FERT_OUTCOME,generational housing access; no fertility estimate,Shravan/Claude,2026-07-31
10.1080/02673037.2018.1541441,W2906619267,2018,Housing Studies,Intergenerational financial transfers and indirect reciprocity: determinants of the reproduction of homeownership in the post-socialist Czech Republic,PRIMARY_WEALTH_OWNER,OUT_NO_FERT_OUTCOME,outcome is homeownership reproduction,Shravan/Claude,2026-07-31
10.1016/j.cities.2021.103277,W3168749274,2021,Cities,"Homeownership out of reach? Intergenerational transfers and homeownership reproduction in middle class families in Rome, Italy",PRIMARY_WEALTH_OWNER,OUT_NO_FERT_OUTCOME,outcome is homeownership access,Shravan/Claude,2026-07-31
10.1177/00420980211040947,W3196317587,2021,Urban Studies,Generational variations in the timing of entry into homeownership in Shanghai: The role of family formation and family of origin,PRIMARY_WEALTH_OWNER,OUT_NO_FERT_OUTCOME,outcome is homeownership entry timing,Shravan/Claude,2026-07-31
10.4054/demres.2021.44.43,W3163840349,2021,Demographic Research,US baby boomers’ homeownership trajectories across the life course: A Sequence Analysis approach,PRIMARY_WEALTH_OWNER,OUT_NO_FERT_OUTCOME,outcome is ownership trajectory,Shravan/Claude,2026-07-31
10.1080/02673037.2022.2100326,W4288514217,2022,Housing Studies,Comparing regional patterns of homeownership entry across four British birth cohorts,PRIMARY_WEALTH_OWNER,OUT_NO_FERT_OUTCOME,outcome is homeownership entry,Shravan/Claude,2026-07-31
10.1080/10511482.2024.2328142,W4394819112,2024,Housing Policy Debate,"Do Long Commutes Discourage Fertility Intentions Among Young Public Housing Renters in Guangzhou, China?",PRIMARY_COST_RENT_IDENTIFIED,OUT_OTHER,"treatment is commute time, not housing price or rent",Shravan/Claude,2026-07-31
10.3386/w30743,W4311207666,2022,National Bureau of Economic Research,"The Effect of Financial Resources on Homeownership, Marriage, and Fertility: Evidence from State Lotteries",PRIMARY_WEALTH_OWNER,OUT_OTHER,"treatment is a financial-resource shock; homeownership is an OUTCOME here, routes to C.1.a/C.3.e",Shravan/Claude,2026-07-31
10.1108/ijhma-11-2023-0155,W4390917103,2024,International Journal of Housing Markets and Analysis,Parental financial support for housing: the importance of investment homes and family size,PRIMARY_COST_RENT_IDENTIFIED,OUT_OTHER,treatment is parental transfer; renters are the comparison group,Shravan/Claude,2026-07-31
10.1215/00703370-11680975,W4404965472,2024,Demography,The Longevity Benefits of Homeownership: Evidence From Early Twentieth-Century U.S. Male Birth Cohorts,PRIMARY_WEALTH_OWNER,OUT_OUTCOME_HEALTH,outcome is longevity,Shravan/Claude,2026-07-31
