chapter,section,ai_precheck,ra_readability_decision,ra_issue_type,ra_note,needs_pi_decision
compulsory-education-child-economic-value.md,1. The claim,READY_FOR_HUMAN_REVIEW,,,,
compulsory-education-child-economic-value.md,2. Theoretical mechanism,READY_FOR_HUMAN_REVIEW,,,,
compulsory-education-child-economic-value.md,3. Search and routing,READY_FOR_HUMAN_REVIEW,,,,
compulsory-education-child-economic-value.md,4. Full-text progress,READY_FOR_HUMAN_REVIEW,,,,
compulsory-education-child-economic-value.md,5. Available empirical evidence,READY_FOR_HUMAN_REVIEW,,,,
compulsory-education-child-economic-value.md,6. Quantitative synthesis,READY_FOR_HUMAN_REVIEW,,,,
compulsory-education-child-economic-value.md,7. Demographic significance,READY_FOR_HUMAN_REVIEW,,,,
compulsory-education-child-economic-value.md,8. Provisional GRADE assessment,READY_FOR_HUMAN_REVIEW,,,,
compulsory-education-child-economic-value.md,9. Provisional verdict,READY_FOR_HUMAN_REVIEW,,,,
compulsory-education-child-economic-value.md,10. Required next analysis,READY_FOR_HUMAN_REVIEW,,,,
compulsory-education-child-economic-value.md,11. Reproducibility,READY_FOR_HUMAN_REVIEW,,,,
compulsory-education-child-economic-value.md,References added in the post-review supplement,READY_FOR_HUMAN_REVIEW,,,,
tempo-effects-birth-postponement.md,1. The claim,READY_FOR_HUMAN_REVIEW,,,,
tempo-effects-birth-postponement.md,2. Compulsory-schooling mechanism,READY_FOR_HUMAN_REVIEW,,,,
tempo-effects-birth-postponement.md,3. Search and study flow,READY_FOR_HUMAN_REVIEW,,,,
tempo-effects-birth-postponement.md,4. Included compulsory-schooling studies,READY_FOR_HUMAN_REVIEW,,,,
tempo-effects-birth-postponement.md,5. Quantitative synthesis,READY_FOR_HUMAN_REVIEW,,,,
tempo-effects-birth-postponement.md,6. Mechanism evidence,READY_FOR_HUMAN_REVIEW,,,,
tempo-effects-birth-postponement.md,7. Completed fertility and demographic significance,READY_FOR_HUMAN_REVIEW,,,,
tempo-effects-birth-postponement.md,8. Preliminary risk of bias and GRADE,READY_FOR_HUMAN_REVIEW,,,,
tempo-effects-birth-postponement.md,9. Provisional verdict for this driver,READY_FOR_HUMAN_REVIEW,,,,
tempo-effects-birth-postponement.md,10. Remaining work for the full chapter,READY_FOR_HUMAN_REVIEW,,,,
tempo-effects-birth-postponement.md,11. Reproducibility,READY_FOR_HUMAN_REVIEW,,,,
