stage,count,stream,interpretation
citation_frame_identified_and_deduplicated,1255,shared,Cold-start forward/backward citation frame; not a keyword-search PRISMA count.
ai_title_abstract_relevant,233,shared,Blinded AI screen.
ai_title_abstract_uncertain,128,shared,Blinded AI screen.
ai_title_abstract_not_relevant,894,shared,Blinded AI screen.
focused_ra_review_set,42,shared,Exception-focused RA sheet derived from the citation frame.
strict_retrieval_candidates,28,shared,Strict outcome/policy gate before publication-version collapse.
ra_approved_distinct,16,child_economic_value,Ten theory/mechanism and six empirical quantum papers.
ra_approved_distinct,10,teenage_birth_postponement,Empirical tempo papers.
ra_approved_union_distinct,25,shared,Geruso-Royer is shared across the two sets.
approved_full_texts_retrieved,25,shared,Complete approved-set retrieval.
post_review_primary_supplement,1,child_economic_value,Shanan (2023); not retroactively counted as RA-approved.
