id,doi,tier,design,route_verdict,outcome,title,note
W2098271399,10.1515/bejeap-2014-0003,T1_wall1_packet,identified,n/a,study_already_covered,Fostering Household Formation: Evidence from a Spanish Rental Subsidy,"Not attempted. The SSRN twin (W1484302076) was retrieved as a PDF at stage 5e, and a version pair is one study. Only the published-version check remains, which is a version question and not a retrieval one."
W2793834463,10.1007/s13524-018-0656-9,T1_wall1_packet,identified,RECLASSIFY_W1_TO_W2,paywalled,Subsidized Housing and the Transition to Adulthood,"Duke University Press serves 'You do not currently have access to this content' to this browser session. curl saw HTML and called it a blocked route; the browser shows a genuine subscription wall. Needs the institutional proxy, not a browser."
W2604478958,10.1111/jmcb.12408,T1_wall1_packet,identified,W2_for_the_published_version,abstract_recovered,Waking Up from the American Dream: On the Experience of Young Americans During the Housing Boom of the 2000s,"THE DECOMPOSITION RECORD. One instrument, three outcomes estimated jointly: home ownership, household formation, fertility. It is the only design in the frame that can say how much of a price effect on fertility travels through household formation, which is the non-additivity question A.23 inherited from C.2.c and could not answer. Wiley blocks the article; the ECB working paper is the readable version."
W4232365706,10.17045/sthlmuni.14555868.v1,T1_wall1_packet,observational,unknown,not_attempted,Childbearing Behavior in the Light of Different Housing Regimes: First Births in Sweden 1975-2004,"figshare.com is not in the browser extension's permitted-domain set for this session. Unknown, not closed."
W4385496510,10.7454/jessd.v6i1.1145,T1_wall1_packet,observational,CONFIRMED_OPEN_W1,open_in_browser_bytes_unreachable,LIVING ARRANGEMENT AND HOMEOWNERSHIP IMPACTS ON FERTILITY INTENTION TO ACHIEVE THE SUSTAINABLE DEVELOPMENT GOALS,"The single clearest confirmation that W1 is real. curl gets 403; the browser fetches the same url with status 200, content-type application/pdf, 507,034 bytes. The content is open and the door is shut to a script. The bytes could not be moved out of the browser: Chrome renders it in a viewer a tool cannot read, and a localhost sink is refused by Chrome's private-network rule."
W2074806498,10.1080/14445921.2014.11104385,T1_wall1_packet,observational,unknown,not_attempted,The Marginal Cost of a Bedroom: An Australian Case Study,figshare.com not permitted in this browser session.
W4386371881,10.1016/j.alcr.2023.100577,T1_wall1_packet,observational,unknown,not_attempted,"The trifecta of adulthood: Housing, partnering and childbearing trajectories",Elsevier. Not reached before the pass was stopped.
W4321371524,10.1111/1540-6229.12467,T1_wall1_packet,observational,W2_for_the_published_version,abstract_recovered,Why do young adults coreside with their parents?,"ROUTES TO LINK 1, NOT TO THE REGISTERED CLAIM. The outcome is CO-RESIDENCE, not a birth: it estimates housing affordability -> the arrangement, which is A.23's mediator being produced by C.2.c's treatment. It carries the best available magnitude for that link (a quarter of a 9-point rise, 2000-2021) and it cannot carry a fertility verdict. The screen had it as a primary-cell record; this reroutes it."
W7161410500,10.2139/ssrn.6754062,T1_wall1_packet,cannot_tell,ROUTE_OUT,abstract_recovered,"Infrastructure and the American Family: Material Conditions, Household Structure, and the Visibility Gap, 1973-2024","RESOLVED AND ROUTED OUT. A 16-page SSRN essay by an unaffiliated independent author, posted 2026, with ZERO references and ZERO citations, arguing that the mode of reproduction is downstream of the mode of production via an 'eight-coalition framework'. It states claims about CPS, PSID and GSS data; it reports no estimate, no design and no identification. It is not evidence about A.23's exposure and it is not a Wall 1 boundary case. The record entered the packet on a title alone, which is exactly the failure mode the RA gate flagged at stage 4."
W3211356747,10.36004/nier.cdr.2021.15-20,T1_wall1_packet,descriptive,unknown,not_attempted,ZHILISHCHNYE USLOVIYA I DETNOST: SVYAZ I VOZMOZHNOSTI VLIYANIYA,Russian-language conference paper. Not reached before the pass was stopped.
W2560594054,10.1080/14616718.2016.1241936,T1_wall1_packet,theory,unknown,not_attempted,Delayed and depressed: from expensive housing to smaller families,Luxembourg institutional repository handle. Not reached before the pass was stopped.
W2010541537,10.1007/s13524-013-0244-y,T1_primary_identified,identified,RECLASSIFY_W1_TO_W2,abstract_recovered_paywalled_fulltext,"Coresidence With Husband's Parents, Labor Supply, and Duration to First Birth","THE EXTENDED ARM'S CENTRAL RECORD, and the browser recovered its abstract while confirming Duke UP paywalls the full text. The abstract carries the finding that matters most to this chapter: correcting for endogeneity REVERSES the sign of co-residence on the timing of first birth. Naive estimates say co-residence accelerates childbearing; the corrected estimate says it delays it. This is the estimator-disagreement problem, not a study disagreement."
W2168637851,10.2139/ssrn.2563597,T1_primary_identified,identified,W1_open_pdf_available_on_ssrn,abstract_recovered,"Geology, Household Formation Rules and the Demand for Sons in Vietnam","IDENTIFIED, AND ON THE EXTENDED ARM'S EXPOSURE. Household formation RULES (patrilocal versus matrilocal residence) instrumented by the suitability of land for plough agriculture, with rural women's fertility as an outcome. It is the frame's only instrument for the ARRANGEMENT ITSELF rather than for a price. Setting is rural Vietnam, so it bears on pre-modern and transitional fertility rather than on the SDT."
