study_id,confounding,selection,exposure_classification,deviations,missing_data,outcome_measurement,reported_result_selection,identification_credibility,overall,rationale,assessed_by,ra_verified
danzer_zyska_2023_brazil_pensions,moderate,moderate,low,low,no_information,low,moderate,moderate,moderate,"Moderate: rural pension reform design is directly tied to fertility; extraction anchors the estimate at PDF p25 Table 3. Paper framing is 'Pensions and Fertility: Microeconomic Evidence,' but reform exposure is not randomly assigned and missing-data handling is not fully audited.",Codex,yes
rossi_godard_2022_namibia_pensions,moderate,moderate,low,low,no_information,low,moderate,moderate,moderate,"Moderate: Namibia design studies the pension 'extension' with fertility estimates anchored at PDF p18 Table 5 and p21 Table 6. Cohort/regional exposure is strong, but residual regional trends and missing-data detail keep risk moderate.",Codex,yes
billari_galasso_2009_italy_pension_reforms,moderate,moderate,moderate,low,no_information,moderate,moderate,moderate,moderate,Moderate: Italian pension reforms create treatment variation around the Amato/Dini reforms; extraction uses PDF p41 Table 3 and p42 Table 4. Expected pension wealth is credible but still selected by work history and reform eligibility.,Codex,yes
han_tao_wang_zhang_2025_china_ltci,serious,moderate,moderate,low,no_information,moderate,serious,serious,serious,"Serious: the CFPS DiD estimate is anchored at PDF p9 Table 2 for China's LTCI pilot. The paper's 'long-term care insurance' exposure is elder-care support, not pure pension income, and overlaps China fertility-policy changes.",Codex,yes
guinnane_streb_2021_prussia_social_security,serious,moderate,moderate,low,no_information,moderate,moderate,serious,serious,"Serious: Table 5 (PDF p21) estimates Prussian social-insurance exposure in a historical 2SLS fertility model. The paper identifies 'social security' mechanisms, but region/profession exposure, marriage mediation, and historical measurement limit causal confidence.",Codex,yes
shen_zheng_yang_2020_china_nrps,serious,serious,moderate,low,no_information,moderate,moderate,serious,serious,"Serious: NRPS estimates use CFPS with IV/DID/PSM checks; extraction anchors the fertility effect at PDF p12 Table 4. The paper's 'New Rural Pension Scheme' exposure is policy-relevant, but rollout/participation selection and one-child-policy context remain serious.",Codex,yes
ci_2024_children_insurance,moderate,moderate,low,low,no_information,moderate,moderate,moderate,moderate,"Moderate: mechanism-only estimate uses the Later Longer Fewer campaign to instrument children; extraction anchors at PDF p11 Table 3. The paper studies whether 'children' substitute for private insurance, so it supports mechanism evidence rather than fertility pooling.",Codex,yes
fenge_scheubel_2017_germany_pensions,serious,moderate,moderate,low,no_information,moderate,moderate,serious,serious,"Serious: PDF p29 Table 3 estimates share insured against crude marital birth rates across 23 provinces. The 'Pensions and Fertility' mechanism is direct, but province-level historical exposure is vulnerable to industrialization, migration, and ecological confounding.",Codex,yes
basso_bodenhorn_cuberes_2014_us_financial_development,serious,serious,moderate,low,no_information,moderate,moderate,serious,serious,"Serious: PDF p22 Table 3 links 1840s bank access to 1850 child-woman ratios. The paper's 'financial development' channel is well timed for FDT, but county bank placement is plausibly endogenous to fertility-relevant development.",Codex,yes
galofre_vila_2023_us_baby_boom,serious,moderate,serious,low,no_information,moderate,serious,serious,serious,"Serious: PDF p6 Table 1 estimates per-capita SSA spending by 1960 against children under five and children ever born. SSA spending bundles 'Social Security Act' channels beyond old-age security, so mechanism attribution remains high risk.",Codex,yes
eibich_siedler_2020_germany_parental_retirement,moderate,moderate,low,low,no_information,low,moderate,moderate,moderate,"Moderate: the retirement instrument uses the 'age threshold for early retirement' and extraction anchors at PDF p9 Table 2. RD/IV variation is strong, but anticipation and family fertility timing around retirement keep residual risk moderate.",Codex,yes
ilciukas_2023_netherlands_parental_retirement,moderate,moderate,low,low,no_information,low,moderate,moderate,moderate,"Moderate: the Dutch reform cutoff applies to cohorts born from Jan 1, 1950 onward; extraction anchors at PDF p8 Table 2. Administrative data and cutoff design are strong, but sample restrictions and IV interpretation limit transportability.",Codex,yes
akyol_atalay_2025_australia_grandmothers_pension,moderate,moderate,low,low,no_information,low,moderate,moderate,moderate,"Moderate: HILDA fixed-effects estimates use women's Age Pension eligibility thresholds; extraction anchors at PDF p3 Table 3. The paper's grandmother eligibility variation is relevant, but survey selection and eligibility-vs-retirement interpretation leave moderate risk.",Codex,yes
