study_id,paper_id,cell,d1_confounding,d2_selection,d3_exposure_measurement,d4_outcome_measurement,d5_selective_reporting,d6_reverse_causality,d6_reverse_tested,d6_reverse_found,d7_exposure_estimand_distance,d7_distance_level,overall,rationale
danielsbacka_2020_pairfam_online_partnering,W4205510192,PRIMARY_APP_FERTILITY,Serious,Moderate,Serious,Low,Low,Critical,yes,YES — beta 0.22 (p=0.001) vs forward 0.07,Serious,online_meeting,Critical,"Confounding: meeting venue is chosen; the authors adjust extensively including Big Five, and the satisfaction result MOVES when personality enters, which shows the adjustment is doing real work and that unmeasured disposition matters. Exposure: ""met online"" is the internet in general, NOT dating apps — the paper says so. Outcome: registered first births in a panel, strong. REVERSE CAUSALITY IS CRITICAL AND THE AUTHORS DEMONSTRATE IT THEMSELVES: fertility intentions at baseline predict meeting a new partner online next wave at roughly three times their own forward coefficient. Forward-lagged dependent variables do not fix this, because the intention precedes the meeting. Overall Critical — the study is well executed and its design cannot bear the causal question the hypothesis asks of it."
oecd_2026_spatial_digitalization_tfr,W7128439818,SECONDARY_TECH_FERTILITY,Critical,Low,Moderate,Low,Moderate,Serious,no,not tested,Critical,internet_access,Critical,"Country-year broadband against country-year TFR over 2000-2021. Everything that trends with broadband over that window — income, urbanisation, female education, postponement itself — is in the residual, and the spatial error model addresses spatial correlation of unobservables rather than their existence. Ecological inference at country level. Reports a sign, not a magnitude, and the sign is against v5."
kalabikhina_2024_russian_regions_digitalization,W4393322196,SECONDARY_TECH_FERTILITY,Critical,Moderate,Moderate,Low,Moderate,Serious,no,not tested,Critical,internet_access,Critical,Descriptive regional clustering with no effect estimate and no counterfactual. Carried for narrative breadth only; excluded from pooling at extraction.
kolk_billari_2021_nlsy_cps_internet_partnership_preprint,W3215766353,SECONDARY_TECH_UNION,Serious,Low,Serious,Low,Low,Serious,no,not tested,Critical,internet_access,Serious,"Nationally representative in two independent sources and the outcome is union formation itself, which is why selection and outcome measurement are Low. But the exposure is INTERNET ACCESS — three constructs away from dating apps — and access is strongly confounded with income, urbanity and education in exactly the cohorts studied. Reverse causality untested: people forming partnerships may acquire household internet. The age-reversal finding is robust across both data sources, which is a point in its favour; a single-sign summary would misreport it."
kolk_billari_2021_nlsy_cps_internet_partnership,W3096306306,SECONDARY_TECH_UNION,Serious,Low,Serious,Low,Low,Serious,no,not tested,Critical,internet_access,Serious,"Nationally representative in two independent sources and the outcome is union formation itself, which is why selection and outcome measurement are Low. But the exposure is INTERNET ACCESS — three constructs away from dating apps — and access is strongly confounded with income, urbanity and education in exactly the cohorts studied. Reverse causality untested: people forming partnerships may acquire household internet. The age-reversal finding is robust across both data sources, which is a point in its favour; a single-sign summary would misreport it."
thalberg_2018_sweden_distance_education_parenthood,W2902982992,SECONDARY_TECH_FERTILITY,Serious,Serious,Low,Low,Low,Moderate,no,not tested,Critical,other_technology,Serious,"Excellent data — 938,768 register observations, conception hazards, no self-report — and the outcome measurement is as good as anything in the frame. But students CHOOSE distance over campus enrolment, and the choice is plausibly made BY people already planning a birth, which is the same reverse arrow in a different costume. Exposure-estimand distance is Critical: the technology is educational delivery, with no partner-search channel at all. PI Call 2 may assign it wholly to C.3.b."
jmf_2024_digitalization_of_family_life_framework,W4392896989,SECONDARY_TECH_UNION,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA — conceptual,No estimate; cited as framing for the A.24 / C.2.h boundary.
china_2025_fertility_information_browsing,W4409623628,SECONDARY_TECH_FERTILITY,Critical,Serious,Serious,Serious,Moderate,Critical,no,not tested,Serious,media_or_content,Critical,"Cross-sectional self-report on both sides: the same respondent reports how much of a kind of online content they consume AND how many children they intend to have, at one moment. Nothing separates content exposure from prior disposition, and the arrow is at least as likely to run from wanting or not wanting children to what one reads. Outcome is INTENTION, not behaviour. Retained for narrative completeness of the Chinese digital-fertility literature, which is where the question is currently most active; not poolable."
ning_2022_china_media_use_fertility_intentions,W4229457429,SECONDARY_TECH_FERTILITY,Critical,Serious,Serious,Serious,Moderate,Critical,no,not tested,Serious,media_or_content,Critical,"Cross-sectional self-report on both sides: the same respondent reports how much of a kind of online content they consume AND how many children they intend to have, at one moment. Nothing separates content exposure from prior disposition, and the arrow is at least as likely to run from wanting or not wanting children to what one reads. Outcome is INTENTION, not behaviour. Retained for narrative completeness of the Chinese digital-fertility literature, which is where the question is currently most active; not poolable."
zhao_2024_cgss_online_social_capital_fertility,W4402185638,SECONDARY_TECH_FERTILITY,Serious,Moderate,Moderate,Serious,Low,Serious,no,not tested,Serious,media_or_content,Serious,"CGSS is a national probability sample, which lifts selection above the other Chinese entries, and the design does the one thing this chapter most needs — enters ONLINE and OFFLINE social capital jointly against the same outcome, so the digital channel is estimated with the non-digital one held fixed. Still cross-sectional, and the outcome is intention rather than birth."
china_2026_seim_fertility_intentions,W7119465607,SECONDARY_TECH_FERTILITY,Critical,Serious,Serious,Serious,Moderate,Critical,no,not tested,Serious,media_or_content,Critical,"Cross-sectional self-report on both sides: the same respondent reports how much of a kind of online content they consume AND how many children they intend to have, at one moment. Nothing separates content exposure from prior disposition, and the arrow is at least as likely to run from wanting or not wanting children to what one reads. Outcome is INTENTION, not behaviour. Retained for narrative completeness of the Chinese digital-fertility literature, which is where the question is currently most active; not poolable."
eharmony_2009_matchmaking_marital_adjustment,W2053775881,PRIMARY_APP_UNION,Critical,Critical,Moderate,Moderate,Serious,Moderate,no,not tested,Moderate,platform_intermediation,Critical,"Two convenience samples of MARRIED couples compared after the fact, so the comparison conditions on survival of the relationship — couples the platform matched who separated cannot appear. Industry-proximate, and the selective-reporting domain is Serious for that reason. Same evidence line as Cacioppo et al. 2013, which is P0 and unread."
