rater,phenomenon_channel,causal_credibility,demographic_significance,pi_escalation,reason_summary
1,PM_classic_oas,very_low,insufficient data,NO,"No extracted study estimates a pre-modern causal effect: target-period-relevance.csv assigns only Basso, Bodenhorn and Cuberes anywhere near PM, and that row is PM|FDT, a serious-risk 1850 county cross-section of bank presence rather than evidence on pre-modern variation. I verified that demographic-significance.csv records zero Cell A PM studies, zero oriented effects and no computed share. Near-universal reliance on children for old-age support explains high fertility levels rather than differences across populations, so nothing in the package supports a rating above very low."
2,PM_classic_oas,very_low,insufficient data,NO,"No direct pre-modern causal estimate exists: demographic-significance.csv records n_cell_a_studies = 0 for PM, and the only PM-adjacent row is Basso, Bodenhorn and Cuberes, an 1850 cross-section of 196 counties rated serious for both confounding and selection, which is correlational rather than identified. No decomposition share, slope sufficiency or R-squared was computed for PM, and the mechanism as stated is a universal background condition that cannot explain cross-population variation. Discrepancy noted for the record: target-period-relevance.csv classifies Basso as PM|FDT while the demographic-significance table counts zero PM studies."
3,PM_classic_oas,very_low,insufficient data,NO,"demographic-significance.csv records n_cell_a_studies=0 and n_oriented_effects=0 for PM, and I verified that no extracted effect row carries a pre-modern estimand. The nearest evidence, Basso, Bodenhorn and Cuberes' 1850 cross-county bank-access regression (-0.04 log child-woman ratio, SE 0.02), is a single cross-section rated overall serious with serious confounding and serious selection because bank placement is endogenous to development; that is PROTOCOL 4.1's very low pattern of correlational-only evidence. No decomposition share, slope sufficiency or R-squared has been computed for PM."
1,FDT_classic_oas,low_to_moderate,partial,YES,"I verified the risk-of-bias pattern: after orienting to more old-age security, all three moderate-rated Cell A studies (Danzer and Zyska, Rossi and Godard, Billari and Galasso) point the hypothesised way, while the six serious-rated ones split three ways, with Shen, Fenge and Basso negative, Han and Galofre-Vila positive, and Guinnane and Streb null at p=0.22. The two credibly identified studies sit in Brazil 1981-2014 and Namibia 1990-2012, so they are indirect for the 1870-1965 Western transition, and every era-matched historical study is serious risk; significance is partial because the province- and county-level historical estimates do operate at population scale while the timing of Bismarck 1889 and the 1935 SSA caps any contribution to the transition's onset, though no PROTOCOL section 4.2 quantity was computed. Escalating because Galofre-Vila's wrong-way estimate was dropped from the completed-fertility pool as mixed_or_broader_oas while Han's equally impure LTCI estimate was retained: I recomputed both pools and reinstating Galofre-Vila, at 74 percent of the weight, flips that summary from -0.0677 to +0.0549."
2,FDT_classic_oas,low_to_moderate,partial,YES,"Two moderate-risk quasi-experiments converge (Danzer-Zyska Brazil, Rossi-Godard Namibia), and I verified that all three moderate-rated Cell A studies point the hypothesised way while the six serious-rated ones split three ways; but the FDT-proper historical studies are mutually inconsistent (Guinnane-Streb p=0.22, Fenge-Scheubel p about 0.09, Galofre-Vila positive) and the magnitudes are not comparable. I recomputed both pooled summaries: two studies hold 96.8% of the birth-probability weight and Billari-Galasso alone holds 88.3% of the completed-fertility weight, and adding back Galofre-Vila's excluded +0.098 children-ever-born estimate flips that pool from -0.0677 to +0.0549, so the pooled summaries cannot carry the FDT verdict. I also traced about 16 tier-2 papers with fertility outcomes and on-point titles, including Chile's 1981 privatization, Austria and several China pension reforms, that reached meta-analysis-ready status but never received an RA-review row, every one flagged NEEDS_MANUAL in the PDF manifest for no OA source, so replication across settings is unassessable; partial rests on Danzer-Zyska's 1.3-birth event-study magnitude, not on a computed threshold."
3,FDT_classic_oas,low_to_moderate,partial,YES,"I verified the risk-of-bias pattern: the two moderate-rated quasi-experiments in FDT-like settings, Danzer and Zyska (Brazil, -0.9pp) and Rossi and Godard (Namibia, -17.3pp), agree in direction and satisfy the replication clause of Moderate, but their magnitudes differ by an order of magnitude, and the three serious-rated historical studies split three ways (Fenge and Scheubel -0.453, SE 0.264; Guinnane and Streb +0.018, p=0.22; Galofre-Vila +0.098, SE 0.016). I recomputed the pooled weights and confirmed the birth-probability summary is 96.8 percent Danzer plus Billari, and Billari is an SDT-classified Italian study, so the FDT-relevant pool is effectively one study; no PROTOCOL 4.2 quantity is computed, making 'partial' a directional judgment rather than a threshold result. Escalating because Galofre-Vila's significant wrong-way completed-fertility estimate was dropped from that pool as broader social spending while Han's wrong-way LTCI estimate was retained in the other pool, and adding Galofre-Vila flips the completed-fertility summary from -0.068 to +0.055, so whether Social Security Act spending counts as non-child old-age security is rating-determinative and is a PI scope call."
1,SDT_classic_oas,low,not significant,YES,"Billari and Galasso is the only credibly identified rich-country SDT estimate, and its two replications are serious-risk China studies that disagree with each other, Han's LTCI estimate at +4.0 percentage points against Shen's NRPS estimate at -7.5, which is PROTOCOL section 4.1's definition of low, one credible quasi-experiment without replication. I recomputed the pooled birth-probability summary and confirmed it is 96.8 percent Billari plus Danzer by inverse-variance weight, so it adds almost no independent SDT information, and Han's wrong-way estimate carries only 2.8 percent. Significance is not significant rather than insufficient data because the mechanism's own prediction runs backwards for the target phenomenon: rich-country pension retrenchment should have raised fertility on this channel and fertility fell. Escalating because demographic-significance.csv already flags this row needs_human_review=yes and the question of whether policy-constrained China counts as SDT evidence is a scope call for the PI."
2,SDT_classic_oas,low,not significant,YES,"Rich-country SDT evidence reduces to one unpublished 2009 working paper, Billari-Galasso, whose completed-fertility estimate is 0.0529 with SE 0.0287; the only two replication candidates, Han and Shen, are both China, both serious risk of bias, both flagged policy-constrained by the project's own rule, and they point in opposite directions, an inconsistent pattern sitting on top of a single unreplicated quasi-experiment. I verified that Han's +4.0pp LTCI estimate is retained inside the birth-probability pool running against the channel's direction, on a treatment its own risk-of-bias rationale calls elder-care support rather than pension income. Not significant is a judgment from timing and direction, since mature systems leave no new margin and retrenchment predicts rising fertility against an observed fall, rather than from any computed share; escalating because demographic-significance.csv sets needs_human_review = yes and its required step of separating policy-constrained China from rich-country SDT is undone."
3,SDT_classic_oas,low,not significant,YES,"The only rich-country SDT estimate is Billari and Galasso's Italian pension-reform study (moderate risk), whose oriented birth-probability effect is significant (0.00664/0.00286) but whose completed-fertility estimate is not (0.0529, SE 0.0287); that is PROTOCOL 4.1's low pattern of one credible quasi-experiment without replication. I verified that the rest of the below-replacement evidence is two serious-rated Chinese studies pointing opposite ways, Han's long-term-care-insurance estimate at +4.0pp against the channel and Shen's NRPS estimate at -0.169 children for it, and that Han's wrong-way estimate sits inside the birth-probability pool at 2.8 percent weight. Escalating because demographic-significance.csv sets needs_human_review=yes on this row and PROTOCOL 2 requires human review of policy-constrained low-fertility settings, which supply half this cell's evidence."
1,SDT_grandparental_childcare,low_to_moderate,insufficient data,YES,"Three quasi-experiments in three below-replacement settings all point the same way after orientation, which would support moderate, but I dock one level on two verified grounds: none of the three appears among the ten rows of fulltext-screen.csv and their eight effect rows are the only extractions in the file flagged ra_verified=no, and Akyol and Atalay is an individual fixed-effects model on an age-determined eligibility threshold rather than an RD or IV like the other two. On magnitude I confirmed the sufficiency file's own caveat, that it divides effect magnitudes by observed TFR declines even when the outcome is a birth probability, that six of eight rows are labelled large and the computed shares reach 273 percent, and that no row uses the share of women actually exposed, so section 4.2's slope-sufficiency test has not been performed and every share overstates. Escalating because the chapter's headline SDT claim rests on unverified, unscreened extractions and on a magnitude screen that does not measure what the verdict cites it for."
2,SDT_grandparental_childcare,moderate,insufficient data,YES,"Revised up from my first pass after verifying the correction: exactly three studies carry OFF:different-channel in the adjudication and all three are in the chapter, they were high-scoring search hits at ranks 8, 10 and 19 with scores 9, 9 and 10 and two flagged gold anchors, and the near-miss, Bratti et al., is correctly excluded because its outcome is maternal labour supply, so the reinstatement was complete and carries no selection risk. Three quasi-experiments in three rich below-replacement countries, all moderate risk of bias, agree in direction after orientation, which meets the protocol's moderate pattern; the residual caveat the PI should see is that Eibich-Siedler's outcome is a birth in year t+1, a tempo measure, so the quantum margin is replicated by the Netherlands and Australia only. Demographic significance stays insufficient data because the sufficiency file states its own labels are not decomposition shares and the companion scaling file defers the real calculation to future work, with six of eight large labels dividing effects by TFR declines in incompatible units and one returning 273%; escalating because all eight Cell C effect rows are ra_verified = no while all sixteen Cell A and B rows are yes."
3,SDT_grandparental_childcare,low_to_moderate,insufficient data,YES,"All three studies are moderate risk in rich below-replacement settings and agree in direction after availability orientation, which reaches the Moderate design pattern, but I verified that none has a fulltext-screen row and that the eight Cell C effect rows are the only extractions in the file with ra_verified=no, so PROTOCOL 5 stages 6 and 7 never ran on this cell; magnitudes also span an order of magnitude, from Eibich and Siedler's 16.6pp annual birth probability to Ilciukas's 0.056 births per woman. On significance I depart from the chapter: the sufficiency screen divides an individual-level treatment effect by a national TFR change, uses within-window declines of 0.097 (Netherlands) and 0.101 (Australia) from windows starting at TFR 1.72 and 1.74 rather than the SDT decline PROTOCOL 2 defines, and never multiplies by the treated share, which is why one row reads 273 percent. The companion scaling file states that the actual slope-sufficiency calculation is a next step, so no PROTOCOL 4.2 quantity exists here; escalating because the cell is unscreened and unverified and because this reading contradicts the chapter's published 'partial, with scale-check support' verdict on methodological grounds."
