paperId,title,workstream,fulltext_decision,design,setting,reform,schooling_first_stage,fertility_outcome,effect_summary,persistence_or_rebound,completed_fertility,mechanism,source_locator,pdf_path,reviewer_name,review_date,include_decision,mechanism_classification,confounding,selection_or_sorting,treatment_classification,outcome_measurement,missing_data,selective_reporting,overall_risk_of_bias,rob_rationale,directness_for_assigned_hypothesis,precision,consistency_with_stream,publication_bias_concern,grade_suggested,grade_rationale,demographic_significance,demographic_rationale,needs_pi_decision,reviewer_notes
W2169373049,Fast Times at Ridgemont High? The Effect of Compulsory Schooling Laws on Teenage Births,TEMPO_COMPULSORY_SCHOOLING,INCLUDE,US state/cohort compulsory-law design; Norwegian reform design,United States; Norway,Minimum dropout ages in US; Norway minimum dropout age 14 to 16,Law-based mandatory attainment; exact first-stage coefficient not extracted in current pass,Probability first birth before ages 17-21,US dropout age 16: -0.008 probability of teen birth (4.7% of mean); dropout age 17: -0.015 (8.8%); Norway reform: -0.006 (3.5%),Age-threshold pattern reported; completed-fertility follow-up unavailable,NOT_REPORTED,School attendance/incapacitation candidate,"PDF abstract; Table 2 discussion, PDF pp. 17-18",literature/pdfs/compulsory-education/W2169373049__fast-times-at-ridgemont-high-the-effect-of-compulsory-schooling-laws-on-.pdf,,,,,,,,,,,,,,,,,,,,,,
W2185731654,The Impact of Education on Family Formation: Quasi-Experimental Evidence from the UK,BOTH,INCLUDE_BOTH_OUTCOMES,Regression discontinuity at 1972 UK ROSLA cohort cutoff,United Kingdom,Minimum school-leaving age 15 to 16,+0.31 years education (women),Age-specific births at 16-19; completed fertility by 45,"Age 17 reduced-form -0.0031 to -0.0034 (3.1-3.4 births per 1,000; about 8%); IV scaling about 26% decline",No detectable effects at ages 18-19; effects essentially zero beyond teen years,Precisely zero; 95% CI excludes effects larger than one tenth of OLS association,Conception reduction during compulsory schooling; negligible abortion effect; incapacitation,PDF introduction p. 3; Table 1 pp. 16-17; Table 3 pp. 20-21,literature/pdfs/compulsory-education/W2185731654__the-impact-of-education-on-family-formation-quasi-experimental-evidence-.pdf,,,,,,,,,,,,,,,,,,,,,,
W3006219298,Books or babies? The incapacitation effect of schooling on minority women,TEMPO_COMPULSORY_SCHOOLING,INCLUDE,Regression discontinuity around school-entry cutoff and leaving-age reform,Hungary; Roma women,Increase in compulsory school-leaving age,Enrollment-rule compliance about 78-80%; reform exposure extends schooling,Teenage motherhood; age at motherhood; conception timing,Teenage motherhood decreased 13.4-26.0%; motherhood delayed by 2 years,Pregnancy falls during school terms but not summer/Christmas breaks,NOT_REPORTED,Direct incapacitation evidence using conception dates,PDF abstract; mechanism discussion; enrollment compliance Table 2,literature/pdfs/compulsory-education/W3006219298__books-or-babies-the-incapacitation-effect-of-schooling-on-minority-women.pdf,,,,,,,,,,,,,,,,,,,,,,
W4385628385,"Women's education, marriage, and fertility outcomes: Evidence from Thailand's compulsory schooling law",TEMPO_COMPULSORY_SCHOOLING,INCLUDE,Donut-hole regression discontinuity,Thailand,Compulsory education extended from 6 to 9 years,Lower-secondary completion +7.6 to +8.9 pp overall; heterogeneous increases,Ever birth and births by age; cumulative births,Ever birth falls about 4-5 pp at ages 14-15; births decrease through age 17,Fertility rises after school years and is significantly higher at age 20; catch-up around ages 20-21,NOT_OBSERVED,Predominantly in-school incapacitation; short-lived human-capital spillover; delayed marriage,PDF abstract; Figure 4 discussion pp. 16-17; Table 1 first stage,literature/pdfs/compulsory-education/W4385628385__women-s-education-marriage-and-fertility-outcomes-evidence-from-thailand.pdf,,,,,,,,,,,,,,,,,,,,,,
W4412362654,Do Compulsory Schooling Laws Affect Fertility Behaviors and Marriages? Evidence From India,TEMPO_COMPULSORY_SCHOOLING,INCLUDE_ADJACENT_MECHANISM,Instrumental-variable staggered difference-in-differences,India,2010 Right to Education Act; compulsory primary education ages 6-14,+0.645 years education; first-stage F-statistic >10,"Sexual activity, marriage, first birth, and fertility by ages 15-25",Sexual activity by 18 -7.2 pp; married by 21 -3.9 pp; first birth by 21 -2.6 pp,Fertility effect becomes more negative in early twenties rather than disappearing after school,NOT_OBSERVED,"Human capital/knowledge, contraception, partner matching; paper rejects incapacitation as main channel",PDF abstract; Table 3 p. 14; Table 4 pp. 15-16; conclusion p. 23,literature/pdfs/compulsory-education/W4412362654__do-compulsory-schooling-laws-affect-fertility-behaviors-and-marriages.pdf,,,,,,,,,,,,,,,,,,,,,,
W2186769068,Compulsory Education and Teenage Motherhood,TEMPO_COMPULSORY_SCHOOLING,INCLUDE,Sharp regression discontinuity at UK ROSLA cohort cutoff,United Kingdom,Minimum school-leaving age increased by one year,School participation falls about 30 pp at cutoff; reform increases mandatory schooling,Motherhood at each teenage age and cumulative teenage motherhood,Motherhood at age 16 -0.40 pp; cumulative effect by age 18 -0.81 pp,Non-monotonic teen pattern; positive effect at 19; reform influence dissipates after age 20,NOT_OBSERVED_SAMPLE_TO_AGE_30,Incarceration plus short beyond-incarceration postponement,PDF abstract; Tables 2-3 and discussion pp. 20-23,literature/pdfs/compulsory-education/W2186769068__compulsory-education-and-teenage-motherhood.pdf,,,,,,,,,,,,,,,,,,,,,,
W2108204833,The Effects of Compulsory-Schooling Laws on Teenage Marriage and Births in Turkey,TEMPO_COMPULSORY_SCHOOLING,INCLUDE,Cohort discontinuity / policy exposure design,Turkey,Compulsory schooling extended from 5 to 8 years in 1997,Large enrollment increase in targeted ages; exact coefficient pending table extraction,Marriage by 16 and first birth by 17-18,Marriage by 16 reduced 44%; first birth by 17 reduced 36%,Effects disappear after age 17 for marriage and age 18 for first birth in published version; delay operates through marriage,NOT_REPORTED,Compulsory attendance plus temporary marriage-market human-capital effect,IZA PDF abstract; Tables 5-8; conclusion pp. 27-28,literature/pdfs/compulsory-education/W2108204833__effects-of-compulsory-schooling-laws-on-teenage-marriage-and-births-turkey.pdf,,,,,,,,,,,,,,,,,,,,,,
W2154210580,Does education reduce teen fertility? Evidence from compulsory schooling laws,TEMPO_COMPULSORY_SCHOOLING,INCLUDE,Canadian compulsory-schooling-law IV,Canada,Changes in provincial minimum school-leaving ages,Strong law-induced schooling first stage; dropout-age increase raises attainment about 6-7 pp on attendance margin,First birth and number of children by ages 17 onward,Teen birth probability reduced about 2-3 pp; effects concentrated at ages 17-18,Negative effect disappears after ages 17-18; temporary delay,NOT_REPORTED,Strong incarceration/incapacitation pattern,NBER PDF abstract; Tables 2-4; conclusion,literature/pdfs/compulsory-education/W2154210580__does-education-reduce-teen-fertility.pdf,,,,,,,,,,,,,,,,,,,,,,
W4409029977,The Causal Effects of Education on Age at Marriage and Marital Fertility,CHILD_ECONOMIC_VALUE_QUANTUM,INCLUDE_REDUCED_FORM_ONLY,Regression discontinuity at 1947 and 1972 English school-leaving reforms,England and Wales,Minimum school-leaving age raised by one year in 1947 and 1972,Reform-scaled additional year; exact preferred first-stage coefficient not extracted here,First-marriage fertility; age at first marriage,1947 scaled fertility effect range -0.046 to +0.132 child; 1972 range -0.030 to +0.061; preferred estimates effectively zero,Completed marital fertility observed,Precisely zero/non-trivial negative effects ruled out,Prospective woman's own education; no child-work-value test,PDF Tables A12-A13 and Figure 6 discussion pp. 18-20; conclusion p. 23,literature/pdfs/compulsory-education/W4409029977__the-causal-effects-of-education-on-age-at-marriage-and-marital-fertility.pdf,,,,,,,,,,,,,,,,,,,,,,
W2411634914,Is Education Always Reducing Fertility? Evidence from Compulsory Schooling Reforms,CHILD_ECONOMIC_VALUE_QUANTUM,INCLUDE_REDUCED_FORM_ONLY,Cross-country compulsory-reform IV,England and seven Continental European countries,Compulsory-schooling extensions implemented 1936-1975,Mandatory schooling instruments; single-country first stages generally 0.22-0.40 years,Completed number of biological children and childlessness,Negative education-fertility effect in England; no fertility reduction or childlessness increase in Continental Europe,Completed cohort fertility observed,England negative; Continental Europe null/nonnegative,Prospective adult's own schooling; marriage-market and labor-supply channels,Author manuscript abstract and Sections 2-4; completed-fertility definition pp. 11-12,literature/pdfs/compulsory-education/W2411634914__is-education-always-reducing-fertility.pdf,,,,,,,,,,,,,,,,,,,,,,
W3212471012,Maternal education and child health: Causal evidence from Denmark,TEMPO_COMPULSORY_SCHOOLING,INCLUDE_ADJACENT_OUTCOME,Fuzzy regression discontinuity,Denmark,Compulsory schooling raised from 7 to 9 years in 1972,Strong compulsory-margin first stage; preferred first-stage F about 118,"Number of children, any child, and age at first birth","No effect on having children or number of children; age at first birth postponed about 0.5 year, marginally significant",Completed number of children measured at age 39,No causal effect on number of children,Prospective mother's own schooling; timing effect not specifically teenage incapacitation,PDF Table 1; Tables 2-3 first stage; Table 6 and discussion,literature/pdfs/compulsory-education/W3212471012__maternal-education-and-child-health-denmark.pdf,,,,,,,,,,,,,,,,,,,,,,
W2028140859,The effect of schooling on teenage childbearing: evidence using changes in compulsory education laws,TEMPO_COMPULSORY_SCHOOLING,INCLUDE,Compulsory-school-leaving-law IV,Great Britain and Northern Ireland,Minimum leaving age 14 to 15 and 15 to 16,+0.47 years pre-contraception; +0.25 years post-contraception,First birth by ages 17-20,Post-contraception IV estimates imply reductions of 1.0 pp by age 17 and 4.0 pp by age 20 in the preferred polynomial specification,Study observes teenage thresholds only,NOT_REPORTED,Own schooling; estimates do not isolate pure attendance from human-capital channels,"Published PDF Tables 2-3, pp. 769-771",literature/pdfs/compulsory-education/W2028140859__effect-schooling-teenage-childbearing-silles.pdf,,,,,,,,,,,,,,,,,,,,,,
W4224284165,The effect of female education on fertility: Evidence from China's compulsory schooling reform,CHILD_ECONOMIC_VALUE_QUANTUM,INCLUDE_REDUCED_FORM_ONLY,Staggered reform-exposure IV,"China, 2010 Census",1986 compulsory-schooling law implemented across provinces,Reform exposure instruments female education,Total live births and childlessness among married women age 35+,An additional year of female education reduces total live births by 0.238 (SE 0.059); no significant childlessness effect,Completed or near-completed fertility observed,NEGATIVE,"Delayed marriage and childbirth, opportunity cost, assortative mating, and child mortality; not reduced value of children's work",Published PDF Table 3 and mechanism section,literature/pdfs/compulsory-education/W4224284165__female-education-fertility-china-compulsory-schooling.pdf,,,,,,,,,,,,,,,,,,,,,,
W2752104534,The Effects of Education on Fertility: Evidence from Taiwan,CHILD_ECONOMIC_VALUE_QUANTUM,INCLUDE_REDUCED_FORM_ONLY,Exact-date regression discontinuity,"Taiwan, 1980 and 2010 population censuses",1968 extension of compulsory education from 6 to 9 years,Reform substantially increased women's schooling,Fertility status in 1980 and children ever born in 2010,Exact-date RD estimates show no effect of the reform-induced increase in women's education on fertility,Completed fertility measured in 2010,NULL,"Prospective woman's own schooling; labor-market and marriage outcomes checked, but child-work value not tested",Published PDF abstract; Tables 2-4; conclusion,literature/pdfs/compulsory-education/W2752104534__effects-education-fertility-taiwan.pdf,,,,,,,,,,,,,,,,,,,,,,
W4415043415,"Education, desired fertility, and HIV/AIDS: Evidence from China's compulsory schooling law",CHILD_ECONOMIC_VALUE_QUANTUM,INCLUDE_ADJACENT_PREFERENCE_OUTCOME,Difference-in-differences using age-specific law exposure,China,1986 compulsory-schooling law,Each exposure year raises schooling by about 0.37-0.45 years in survey samples,Desired number of children and contraceptive behavior,"One additional year of law exposure reduces women's desired number of children by 0.009, with no detectable effect for men",Realized completed fertility not estimated,NOT_OBSERVED,"Women's opportunity cost and intrahousehold contraceptive bargaining, not children's work value",Published PDF abstract; Tables 3 and 5; fertility-preference section,literature/pdfs/compulsory-education/W4415043415__education-desired-fertility-hiv-aids.pdf,,,,,,,,,,,,,,,,,,,,,,
