openalex,study,cell,estimand,D1_gene_environment_correlation,D2_stratification_dynastic,D3_equal_environments,D4_sample_selection,D5_censoring,D6_reverse_causation_on_h2,D7_replication_asymmetry,overall,worst_domain_reason
W4414345371,"Within-family heritability estimates, UK Biobank",WITHIN_VS_POPULATION,h2_within_family,SERIOUS,LOW,LOW,SERIOUS,SERIOUS,LOW,LOW,SERIOUS,"anonymous variance component: absorbs the heritability of education, health and partnering upstream of fertility; the estimand is genotype's total association, not a genetic effect holding the life course fixed"
W2337218734,"Tropf et al., mega-analysis of 31,396 across 6 countries",H2_MODERATION,h2_SNP_baseline,SERIOUS,SERIOUS,LOW,LOW,LOW,SERIOUS,LOW,SERIOUS,"anonymous variance component: absorbs the heritability of education, health and partnering upstream of fertility; the estimand is genotype's total association, not a genetic effect holding the life course fixed"
W2337218734,"Tropf et al., mega-analysis of 31,396 across 6 countries",H2_MODERATION,h2_SNP_with_cohort_and_population_interaction,SERIOUS,SERIOUS,LOW,LOW,LOW,SERIOUS,LOW,SERIOUS,"anonymous variance component: absorbs the heritability of education, health and partnering upstream of fertility; the estimand is genotype's total association, not a genetic effect holding the life course fixed"
W2573112139,"Isleifsson et al., parental investment and LRS, Iceland",PEDIGREE_RESPONSE,h2_narrow_sense_family_effect_competing,SERIOUS,LOW,LOW,LOW,LOW,LOW,LOW,SERIOUS,"anonymous variance component: absorbs the heritability of education, health and partnering upstream of fertility; the estimand is genotype's total association, not a genetic effect holding the life course fixed"
W1562851158,Quebec biocultural origins of human capital (Galor & Klemp),PEDIGREE_RESPONSE,h2_narrow_sense,SERIOUS,LOW,LOW,LOW,LOW,LOW,LOW,SERIOUS,"anonymous variance component: absorbs the heritability of education, health and partnering upstream of fertility; the estimand is genotype's total association, not a genetic effect holding the life course fixed"
W2033634275,"Briley/Harden/Tucker-Drob, Genotype x Cohort Interaction",H2_MODERATION,additive_genetic_path_cohort_linear_term_SPLINE,SERIOUS,LOW,SERIOUS,MODERATE,LOW,SERIOUS,LOW,SERIOUS,"anonymous variance component: absorbs the heritability of education, health and partnering upstream of fertility; the estimand is genotype's total association, not a genetic effect holding the life course fixed"
W2033634275,"Briley/Harden/Tucker-Drob, Genotype x Cohort Interaction",H2_MODERATION,additive_genetic_path_cohort_linear_term_QUARTIC,SERIOUS,LOW,SERIOUS,MODERATE,LOW,SERIOUS,LOW,SERIOUS,"anonymous variance component: absorbs the heritability of education, health and partnering upstream of fertility; the estimand is genotype's total association, not a genetic effect holding the life course fixed"
W2128269372,"Wang et al., post-reproductive lifespan and family size, Framingham",SELECTION_DIFFERENTIAL,h2_narrow_sense,SERIOUS,LOW,LOW,MODERATE,LOW,LOW,LOW,SERIOUS,"anonymous variance component: absorbs the heritability of education, health and partnering upstream of fertility; the estimand is genotype's total association, not a genetic effect holding the life course fixed"
W2342100485,"Day et al., determinants of reproductive onset and success",H2_FERTILITY,h2_SNP,SERIOUS,SERIOUS,LOW,SERIOUS,SERIOUS,LOW,LOW,SERIOUS,"anonymous variance component: absorbs the heritability of education, health and partnering upstream of fertility; the estimand is genotype's total association, not a genetic effect holding the life course fixed"
W2731861498,Sexual dimorphism in the genetic influence on childlessness,H2_FERTILITY,h2_GREML_twin_sample,SERIOUS,LOW,LOW,MODERATE,LOW,LOW,LOW,SERIOUS,"anonymous variance component: absorbs the heritability of education, health and partnering upstream of fertility; the estimand is genotype's total association, not a genetic effect holding the life course fixed"
W590852753,"Tropf et al., Human fertility, molecular genetics and natural selectio",H2_FERTILITY,h2_SNP,SERIOUS,SERIOUS,LOW,MODERATE,LOW,LOW,LOW,SERIOUS,"anonymous variance component: absorbs the heritability of education, health and partnering upstream of fertility; the estimand is genotype's total association, not a genetic effect holding the life course fixed"
