screen_id,study,year,venue,setting,policy_or_shock,design,exposure_statistic,exposure_level,return_separated,own_income_held,link_measured,outcome_level,outcome,estimator_class,phenomenon_window,effect,sign_vs_c2f,cell_after_fulltext,routing,extractor,date
C2F0428,"Meng, Wang, Yang & Zhang, Education Competition and Fertility Intention: Evidence from China's Private Tutoring Ban",2025,SSRN working paper (Peking Univ Guanghua),China nationwide; 2021 'Double Reduction' tutoring ban,"2021 ban on for-profit academic tutoring; intensity = per-capita tutoring institutions in 2016, five years pre-policy, from firm registrations","(a) survey experiment eliciting fertility intentions with/without policy, within-subject with individual FE plus a between-subject arm; (b) city-level DID on ACTUAL birth rates, 2016-19 avg and 2020 Census vs 2023 (319 cities) and 2024 (204), city+year FE, controls lagged GDPpc/housing price/public ed spend/COVID, SE clustered by city",POSITIONAL_INTENSITY,LOCAL_LABOR_MARKET,"YES - a tutoring ban does not change the RETURN to human capital, only the investment needed to hold a rank; the authors' decomposition separates perceived competition from money and time cost",YES - individual FE; city FE and lagged GDPpc in the DID,FULL_CHAIN,INTENDED and REALIZED,"expected total fertility (stated); city birth rate per 1,000 (realized)",within_subject_FE; DID_two_way_FE,SDT,"+7-8% expected total fertility, larger where intensity higher; DID: higher-intensity cities had significantly greater increases in ACTUAL births. Decomposition: perceived reduction in educational competition is the PRIMARY driver, then parental health (>0.5 SD), then time (-0.69 h/day) and money (-275 RMB/mo, -34.5%)",SUPPORTS - and the competition channel dominates the pure cost channel,TUTORING_POLICY_FERTILITY,"C.2.f's own. The money/time sub-channel is C.2.b's and is reported separately, so the two are separable rather than jointly claimed.",Claude,2026-09-08
C2F0592,"Kim, The impact of shadow education expenditures on fertility rates in South Korea",2026,Journal of Population Economics 39:5,"South Korea, provincial panel",none - instrumented variation in provincial shadow-education spending,"fixed-effects IV. Instrument: changes in the provincial composition of parents WITH school-aged children vs prospective parents without, as exogenous variation in shadow-education expenditure",REQUIRED_INVESTMENT,SUBNATIONAL,"NO - the exposure is expenditure; the instrument shifts demand composition, not the return to schooling","PARTIAL - province and year FE plus controls, but income is not the instrument's exclusion",FULL_CHAIN,REALIZED,total fertility rate; birth-order-specific rates,FE_IV_2SLS,SDT,a 1% rise in average shadow-education expenditure lowers TFR by 0.18-0.26%; effect MORE pronounced for higher-order births,SUPPORTS - and it is the only identified estimate on a REALIZED national fertility rate,REQUIRED_INVESTMENT_FERTILITY,"C.2.f's. Authors frame it as quantity-quality, which is C.3.d's language, but the varying object is required spending to keep pace, not the return.",Claude,2026-09-08
C2F1279,"Zhou, Shao & Zhang, The impact of China's 'Double Reduction' policy on the fertility and education investment behaviour of Chinese households",2026,Applied Economics,"China; CFPS 2018 for the empirical arm, national calibration for the model","2021 Double Reduction - SIMULATED, not evaluated","TWO PARTS. Sec III: IV on CFPS 2018, adults 18-50 with children in compulsory education, n=3,481; OLS/2SLS, Poisson/IV-Poisson, Probit/IV-Probit; instruments = mean shadow-ed spend of pupils one year older and one year younger in the same county. Secs IV-VI: calibrated heterogeneous-agent model with endogenous fertility, urban/rural zhongkao admission, DeepHAM+DIRECT algorithm; the policy result is a SIMULATION",REQUIRED_INVESTMENT,SCHOOL_DISTRICT,NO in the empirical arm; the MODEL is explicitly positional but a model is not an estimate,"UNCLEAR - income is a control, but the instrument is county peer spending which is plausibly correlated with county income",LINK1_INVESTMENT (empirical) / FULL_CHAIN (simulated only),INTENDED,ideal number of children; second-child intention,IV_2SLS; IV_Poisson; IV_Probit,SDT,"empirical: shadow-education expenditure has a significant NEGATIVE effect on fertility intentions across all six estimators. Simulated: regulating shadow education 'can boost fertility', rising with regulatory stringency",SUPPORTS on the empirical arm; the policy result carries no identification,REQUIRED_INVESTMENT_FERTILITY (empirical) + THEORY (simulation),"SPLIT, and NEVER pooled with C2F0428 despite the same policy - one is an estimate, one a simulation. RISK OF BIAS: the instrument is county-level peer spending, which IS the reference standard this chapter names as the mechanism, so it plausibly affects intentions directly.",Claude,2026-09-08
C2F1327,"Lu, Wei & Fan, Educational competition and reduced family size in China",2026,Demographic Research 55(2),"China, students surveyed near schools",none,cross-sectional OLS association; exposure = number of private tutoring centres within 800 m of a school as a proxy for competition intensity,POSITIONAL_INTENSITY,SCHOOL_DISTRICT,NO,"PARTIAL - income heterogeneity split, not held",FULL_CHAIN,REALIZED,number of younger siblings of the surveyed student,OLS_uncorrected,SDT,one or more tutoring centres within 800 m associated with a 0.04-child reduction in younger siblings; strongest among low- and middle-income families,"SUPPORTS in sign, but the authors themselves write 'associated with' and 'may'",EDUCOMP_ASSOCIATION (new cell),"NEW CELL added at extraction: the rubric had no context cell for an UNIDENTIFIED required-investment association, only INEQ_ASSOCIATION for inequality exposures. add-a-cell-when-the-rubric-lacks-one. Context, never primary, never pooled.",Claude,2026-09-08
C2F0593,"Chen, Sun & Cui, Expansion of shadow education, status externalities, and fertility intentions",2025,China Soft Science 2025(12) 73-83 (Chinese),China; CFPS plus city-level data,none,"OLS with mechanism (mediation-style) analysis; no IV, no DID",REQUIRED_INVESTMENT,SUBNATIONAL,NO,NO - income is a heterogeneity split,FULL_CHAIN,INTENDED,residents' fertility intentions,OLS_uncorrected,SDT,"under STATUS EXTERNALITY, shadow-education expansion has a significant negative effect on fertility intentions; stronger among already-parents, socially connected families, low-income and those without pension insurance. Mechanisms: higher education expenditure, less leisure, education anxiety",SUPPORTS in sign; unidentified,EDUCOMP_ASSOCIATION,Names C.2.f's mechanism explicitly (地位外部性 / status externality) - the closest vocabulary match in the pool - but carries no identification.,Claude,2026-09-08
C2F1348,"Kim, The Race for Elite Destinations: Education Competition and Low Fertility in Korea",2026,arXiv 2608.27980 [econ.GN],"South Korea, calibrated to national data",counterfactual: replacing score-based assignment with a capacity-preserving lottery,quantitative model calibrated to an ASSIGNMENT EXTERNALITY - when all families spend more the admission bar rises. Not an identified estimate,POSITIONAL_INTENSITY,NATIONAL,"YES conceptually - the model's externality is purely positional, with near-zero measured returns to tutoring",NOT_APPLICABLE,FULL_CHAIN,REALIZED (simulated),completed fertility per couple,calibrated_structural_model,SDT,"lottery assignment raises completed fertility by 0.24 children per couple; pronatal transfers deliver one eighth of that; education taxes almost none. Families devote 9% of lifetime income to education with near-zero measured returns. CRITICALLY: 'Preference shifts, NOT a fiercer race, explain the decline across cohorts'","MIXED - the strongest formal statement of C.2.f's mechanism, and its own decomposition attributes the historical cohort decline to preferences rather than to intensifying competition",THEORY,"Context, not an estimate. But its 0.24-children counterfactual and its cohort decomposition are the two most decision-relevant numbers in the pool for the demsig section.",Claude,2026-09-08
C2F1217,"Xu & Wu, Income Inequality and the Realization of Fertility Desires in China: Evidence from CGSS Panel Data",2025,Proceedings of ICEMGD 2025,"China, CGSS 2013-2023",none,two-way fixed effects at province and year level,DISPERSION_OTHER,SUBNATIONAL,NO,PARTIAL,FULL_CHAIN,REALIZED,fertility GAP = ideal minus actual number of children,two_way_FE,SDT,"higher regional income inequality significantly WIDENS the fertility gap, via intensified relative deprivation and lowered perceived socioeconomic status",SUPPORTS,DISPERSION_FERTILITY,"Conference proceedings, not peer-reviewed journal - weight accordingly at risk of bias.",Claude,2026-09-08
C2F1264,"Lee, Widening Regional Economic Disparities and Fertility Decline in South Korea: A Cross-Level Analysis",2026,"Population, Space and Place","South Korea, 229 districts 2015-2021 plus 2020 Census",none,"spatial panel with two-way FE (229 districts, 2015-2021) plus multilevel models of married women 19-49 from the 2020 Census; exposure is Yitzhaki's relative deprivation index",DISPERSION_OTHER,SUBNATIONAL,NO,PARTIAL,FULL_CHAIN,REALIZED,crude birth rate; births per woman,spatial_panel_two_way_FE; multilevel,SDT,growth in regional disparity has a significant negative effect on crude birth rates; multilevel models confirm regions with sharper inequality increases recorded fewer births per woman,SUPPORTS in sign; the authors describe them as 'negative associations' and a 'potential mechanism',DISPERSION_FERTILITY,Identified only by FE; treat as associational at risk of bias.,Claude,2026-09-08
C2F0357,The impact of income inequality on the fertility intention: a micro perspective based on relative deprivation,2024,(China),"China, individual-level",none,"IV 2SLS on an individual relative-deprivation index, with mechanism analysis",DISPERSION_OTHER,INDIVIDUAL_REFERENCE_GROUP,NO,PARTIAL,FULL_CHAIN,INTENDED,fertility intentions,IV_2SLS,SDT,"an increase in income inequality BOOSTS fertility intentions, robust to 2SLS. Channels: 'build hopes on children', 'allocate more time to families', and 'PUT LESS VALUE ON CHILDREN'S EDUCATION'. Larger for the poorly educated, low-asset, and those without pension insurance","RUNS AGAINST - the sign is POSITIVE and the mechanism is the reverse of C.2.f's: inequality lowers the value placed on children's education, reducing rather than raising required investment",DISPERSION_FERTILITY,"Primary cell, opposite sign. Must be in the synthesis, not filtered out.",Claude,2026-09-08
C2F1346 / C2F1212,"Meng & Xie, Income Inequality, Human Capital Aspirations, and Fertility Decisions / Income Inequality, Educational Aspirations, and Fertility Behavior (VERSION PAIR - ONE STUDY)",2026,Research Square preprint; SSRN preprint,"China, CFPS",none,IV estimation at regional and individual level; educational aspirations as mediator,GINI,SUBNATIONAL,NO,PARTIAL,FULL_CHAIN,REALIZED,fertility behaviour (number of children),IV,SDT,"income inequality significantly AMPLIFIES fertility: individuals in high-disparity regions or with heightened relative deprivation have MORE children. Mediator: higher inequality lowers educational aspirations, which reduces the anticipated cost of children and paradoxically raises fertility","RUNS AGAINST - positive sign, and the mediator runs opposite to C.2.f's required-investment channel",DISPERSION_FERTILITY,"ONE STUDY, TWO RECORDS (version-pair-is-one-study): same authors, same institution, same CFPS data, near-identical construct counts (relative deprivation 27/32, Gini 27/26, IV 9/10, CFPS 15/15). Count ONCE.",Claude,2026-09-08
